algorithm,ari,cost_ratio_vs_kmeans,cost_sse,d,dataset,extra__algorithm,extra__avg_update_ms,extra__c2,extra__chunk_size,extra__cost_is_approx,extra__d,extra__eps,extra__facility_final,extra__levels_used,extra__m_factor,extra__m_summary,extra__mode,extra__opened_centers,extra__peak_mem_bytes,extra__points_seen,extra__r,extra__state_bytes,extra__stream_is_single_pass,extra__summary_points,extra__summary_size,extra__throughput_pts_per_sec,k,n,nmi,quality_loss_pct_vs_kmeans,runtime_sec,seed,stream_model,sweep_id
KMeans(sk),0.39201,1.0,24685.36914,10.0,anisotropic,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,54844.73217,16.0,10000.0,0.6485,0.0,0.18233,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.4064,1.02615,25331.07226,10.0,anisotropic,,,,,,,,,,,,,,13519021.0,10000.0,,,,,,231026.69046,16.0,10000.0,0.64942,2.61573,0.04328,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.44468,1.06527,26296.82722,10.0,anisotropic,,70.67831,,8192.0,,,,,1.0,2.0,32.0,,,26966217.0,10000.0,,2816.0,,32.0,,60868.57941,16.0,10000.0,0.65487,6.52798,0.16428,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.41093,1.06187,26212.80078,10.0,anisotropic,,0.24537,,,,,,64.0,,,,,96.0,13509497.0,10000.0,,4608.0,,,,4075.4431,16.0,10000.0,0.64932,6.18759,2.45372,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.36033,2.06873,51067.42578,10.0,anisotropic,Ailon2009 faithful (no refinement),6561.87983,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,761.91435,16.0,10000.0,0.62,106.87325,13.12483,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.4066,1.02904,25402.36531,10.0,anisotropic,,4.89337,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,178508.60629,16.0,10000.0,0.64896,2.90453,0.05601,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.39283,1.0,24683.90234,10.0,anisotropic,,,,,,,,,,,,,,13518021.0,10000.0,,,,,,53362.74203,16.0,10000.0,0.64914,0.0,0.18739,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.4099,1.02807,25376.79687,10.0,anisotropic,,,,,,,,,,,,,,13519005.0,10000.0,,,,,,164701.79619,16.0,10000.0,0.6434,2.80707,0.06071,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.38656,1.07453,26523.75826,10.0,anisotropic,,75.72789,,8192.0,,,,,1.0,2.0,32.0,,,26966217.0,10000.0,,2816.0,,32.0,,57453.8192,16.0,10000.0,0.64227,7.45366,0.17405,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.40504,1.0692,26392.20703,10.0,anisotropic,,0.24562,,,,,,64.0,,,,,107.0,13511897.0,10000.0,,5136.0,,,,4071.20172,16.0,10000.0,0.65182,6.92072,2.45627,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.37704,1.95746,48317.79296,10.0,anisotropic,Ailon2009 faithful (no refinement),6439.57499,,8192.0,,,,,,,,,,140346655.0,10000.0,,13776.0,,,287.0,776.38172,16.0,10000.0,0.62963,95.74616,12.88026,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.41636,1.1598,28628.41697,10.0,anisotropic,,4.99297,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,177975.39532,16.0,10000.0,0.6508,15.9801,0.05618,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.39916,1.0,24880.32812,10.0,anisotropic,,,,,,,,,,,,,,13517973.0,10000.0,,,,,,51945.65705,16.0,10000.0,0.64577,0.0,0.1925,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.37469,1.05266,26190.75195,10.0,anisotropic,,,,,,,,,,,,,,13519318.0,10000.0,,,,,,227723.42816,16.0,10000.0,0.64386,5.2669,0.04391,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.36205,1.08456,26984.38086,10.0,anisotropic,,81.71787,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,53908.18607,16.0,10000.0,0.6417,8.45669,0.1855,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.40191,1.09139,27154.35937,10.0,anisotropic,,0.24497,,,,,,64.0,,,,,115.0,13514425.0,10000.0,,5520.0,,,,4082.01343,16.0,10000.0,0.64755,9.13987,2.44977,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.37094,1.74393,43389.625,10.0,anisotropic,Ailon2009 faithful (no refinement),6475.71862,,8192.0,,,,,,,,,,140346655.0,10000.0,,13728.0,,,286.0,772.05236,16.0,10000.0,0.63486,74.39329,12.95248,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.39068,1.10541,27503.20246,10.0,anisotropic,,4.9846,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,177604.64403,16.0,10000.0,0.64217,10.54196,0.0563,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99224,1.0,622125.25,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,68481.93231,16.0,10000.0,0.99291,0.0,0.14602,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.90253,1.06591,663132.1875,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519109.0,10000.0,,,,,,183761.73952,16.0,10000.0,0.96121,6.59142,0.05441,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99244,1.00004,622153.74784,10.0,high_dim_sparseish,,67.45706,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,63338.39248,16.0,10000.0,0.99306,0.00458,0.15788,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99162,1.01033,628551.875,10.0,high_dim_sparseish,,0.30892,,,,,,4096.0,,,,,128.0,13517041.0,10000.0,,6144.0,,,,3237.04644,16.0,10000.0,0.9925,1.03301,3.08923,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.74533,2.06374,1283906.0,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6485.48883,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,770.88893,16.0,10000.0,0.87182,106.37419,12.97203,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.7445,1.43624,893526.53869,10.0,high_dim_sparseish,,4.93191,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,181773.83891,16.0,10000.0,0.86286,43.62486,0.05501,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.91729,1.0,651505.125,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518027.0,10000.0,,,,,,74905.5254,16.0,10000.0,0.97277,0.0,0.1335,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.91273,1.12448,732604.9375,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519037.0,10000.0,,,,,,212988.57582,16.0,10000.0,0.96885,12.44806,0.04695,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99121,0.95495,622159.34412,10.0,high_dim_sparseish,,68.68127,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,62645.61856,16.0,10000.0,0.99218,-4.5043,0.15962,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.9912,0.96571,629168.875,10.0,high_dim_sparseish,,0.30714,,,,,,4096.0,,,,,132.0,13518273.0,10000.0,,6336.0,,,,3255.75347,16.0,10000.0,0.99203,-3.4284,3.07148,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.65453,2.60728,1698658.875,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6487.46241,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,770.64221,16.0,10000.0,0.80099,160.72839,12.97619,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.72872,1.16607,759706.53385,10.0,high_dim_sparseish,,4.97773,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,178980.39237,16.0,10000.0,0.84263,16.60791,0.05587,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99162,1.0,622125.875,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,61785.14242,16.0,10000.0,0.9925,0.0,0.16185,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.90265,1.06455,662288.125,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519037.0,10000.0,,,,,,181121.00426,16.0,10000.0,0.96138,6.45564,0.05521,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99142,1.00005,622157.67926,10.0,high_dim_sparseish,,77.61258,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,55714.10862,16.0,10000.0,0.99231,0.00511,0.17948,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99078,1.00903,627746.125,10.0,high_dim_sparseish,,0.32243,,,,,,4096.0,,,,,124.0,13516297.0,10000.0,,5952.0,,,,3101.4301,16.0,10000.0,0.99161,0.90339,3.22431,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.69951,2.1477,1336142.625,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6602.74208,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,757.20198,16.0,10000.0,0.85187,114.77046,13.20651,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.91123,1.01234,629804.34459,10.0,high_dim_sparseish,,4.99063,8.0,1024.0,0.0,10.0,0.3,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,177935.94306,16.0,10000.0,0.92821,1.23423,0.05619,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99224,1.0,622125.25,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,78687.7762,16.0,10000.0,0.99291,0.0,0.12708,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.90253,1.06591,663132.1875,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519021.0,10000.0,,,,,,188295.25441,16.0,10000.0,0.96121,6.59142,0.0531,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99244,1.00004,622153.74788,10.0,high_dim_sparseish,,75.0631,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,58010.24858,16.0,10000.0,0.99306,0.00458,0.17238,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99162,1.01033,628551.875,10.0,high_dim_sparseish,,0.3051,,,,,,4096.0,,,,,128.0,13517041.0,10000.0,,6144.0,,,,3277.58099,16.0,10000.0,0.9925,1.03301,3.05103,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.74533,2.06374,1283906.0,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6601.08512,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,757.3902,16.0,10000.0,0.87182,106.37419,13.20323,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.7445,1.43624,893526.53869,10.0,high_dim_sparseish,,4.87431,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,183175.0661,16.0,10000.0,0.86286,43.62486,0.05459,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.91729,1.0,651505.125,10.0,high_dim_sparseish,,,,,,,,,,,,,,13517989.0,10000.0,,,,,,74627.63144,16.0,10000.0,0.97277,0.0,0.13399,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.91273,1.12448,732604.9375,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519037.0,10000.0,,,,,,283190.17928,16.0,10000.0,0.96885,12.44806,0.03531,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99121,0.95495,622159.34415,10.0,high_dim_sparseish,,64.94356,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,65547.51581,16.0,10000.0,0.99218,-4.5043,0.15256,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.9912,0.96571,629168.875,10.0,high_dim_sparseish,,0.30487,,,,,,4096.0,,,,,132.0,13518273.0,10000.0,,6336.0,,,,3280.06211,16.0,10000.0,0.99203,-3.4284,3.04872,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.65453,2.60728,1698658.875,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6504.63229,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,768.62143,16.0,10000.0,0.80099,160.72839,13.0103,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.72872,1.16607,759706.53385,10.0,high_dim_sparseish,,4.7751,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,186214.24995,16.0,10000.0,0.84263,16.60791,0.0537,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99162,1.0,622125.875,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,90466.52455,16.0,10000.0,0.9925,0.0,0.11053,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.90265,1.06455,662288.125,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519037.0,10000.0,,,,,,262103.72734,16.0,10000.0,0.96138,6.45564,0.03815,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99142,1.00005,622157.67926,10.0,high_dim_sparseish,,71.52283,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,60580.0846,16.0,10000.0,0.99231,0.00511,0.16507,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99078,1.00903,627746.125,10.0,high_dim_sparseish,,0.30602,,,,,,4096.0,,,,,124.0,13516297.0,10000.0,,5952.0,,,,3267.69402,16.0,10000.0,0.99161,0.90339,3.06026,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.69951,2.1477,1336142.625,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6505.32189,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,768.53841,16.0,10000.0,0.85187,114.77046,13.01171,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.91123,1.01234,629804.34459,10.0,high_dim_sparseish,,4.92577,8.0,1024.0,0.0,10.0,0.5,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,182120.472,16.0,10000.0,0.92821,1.23423,0.0549,211.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99224,1.0,622125.25,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,77280.12596,16.0,10000.0,0.99291,0.0,0.12939,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.90253,1.06591,663132.1875,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519021.0,10000.0,,,,,,224591.24057,16.0,10000.0,0.96121,6.59142,0.04452,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99244,1.00004,622153.74788,10.0,high_dim_sparseish,,69.1911,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,62316.76572,16.0,10000.0,0.99306,0.00458,0.16047,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99162,1.01033,628551.875,10.0,high_dim_sparseish,,0.30722,,,,,,4096.0,,,,,128.0,13517041.0,10000.0,,6144.0,,,,3254.90437,16.0,10000.0,0.9925,1.03301,3.07228,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.74533,2.06374,1283906.0,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6546.16449,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,763.74475,16.0,10000.0,0.87182,106.37419,13.09337,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.7445,1.43624,893526.53869,10.0,high_dim_sparseish,,4.89018,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,26965045.0,10000.0,10.0,2448.0,0.0,,,182874.42125,16.0,10000.0,0.86286,43.62486,0.05468,42.0,insertion-only,Kmeans_sweep
KMeans(sk),0.91729,1.0,651505.125,10.0,high_dim_sparseish,,,,,,,,,,,,,,13517989.0,10000.0,,,,,,78016.73654,16.0,10000.0,0.97277,0.0,0.12817,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.91273,1.12448,732604.9375,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519037.0,10000.0,,,,,,257448.57291,16.0,10000.0,0.96885,12.44806,0.03884,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99121,0.95495,622159.34413,10.0,high_dim_sparseish,,68.14141,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,63063.59819,16.0,10000.0,0.99218,-4.5043,0.15857,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.9912,0.96571,629168.875,10.0,high_dim_sparseish,,0.30217,,,,,,4096.0,,,,,132.0,13518273.0,10000.0,,6336.0,,,,3309.3789,16.0,10000.0,0.99203,-3.4284,3.02171,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.65453,2.60728,1698658.875,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6569.57493,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,761.02393,16.0,10000.0,0.80099,160.72839,13.14019,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.72872,1.16607,759706.53385,10.0,high_dim_sparseish,,5.00083,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,176592.38608,16.0,10000.0,0.84263,16.60791,0.05662,77.0,insertion-only,Kmeans_sweep
KMeans(sk),0.99162,1.0,622125.9375,10.0,high_dim_sparseish,,,,,,,,,,,,,,13518005.0,10000.0,,,,,,80590.3514,16.0,10000.0,0.9925,0.0,0.12408,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),0.90265,1.06455,662288.125,10.0,high_dim_sparseish,,,,,,,,,,,,,,13519037.0,10000.0,,,,,,229372.04448,16.0,10000.0,0.96138,6.45563,0.04359,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,0.99142,1.00005,622157.67918,10.0,high_dim_sparseish,,72.74033,,8192.0,,,,,1.0,2.0,32.0,,,26966185.0,10000.0,,2816.0,,32.0,,59487.75109,16.0,10000.0,0.99231,0.0051,0.1681,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,0.99078,1.00903,627746.125,10.0,high_dim_sparseish,,0.30517,,,,,,4096.0,,,,,124.0,13516297.0,10000.0,,5952.0,,,,3276.79492,16.0,10000.0,0.99161,0.90338,3.05176,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.69951,2.1477,1336142.625,10.0,high_dim_sparseish,Ailon2009 faithful (no refinement),6582.06466,,8192.0,,,,,,,,,,140346655.0,10000.0,,13824.0,,,288.0,759.57794,16.0,10000.0,0.85187,114.77044,13.1652,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,0.91123,1.01234,629804.34459,10.0,high_dim_sparseish,,4.96686,8.0,1024.0,0.0,10.0,0.8,,,,,batch_stream_wrapper,,26964804.0,10000.0,10.0,2448.0,0.0,,,180218.60408,16.0,10000.0,0.92821,1.23422,0.05548,211.0,insertion-only,Kmeans_sweep
KMeans(sk),1.0,1.0,995710.125,25.0,blobs,,,,,,,,,,,,,,16397765.0,10000.0,,,,,,168092.53399,8.0,10000.0,1.0,0.0,0.05949,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),1.0,1.00009,995802.75,25.0,blobs,,,,,,,,,,,,,,16399237.0,10000.0,,,,,,349361.75973,8.0,10000.0,1.0,0.0093,0.02862,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,1.0,1.0,995710.19087,25.0,blobs,,69.54633,,8192.0,,,,,1.0,2.0,32.0,,,32745705.0,10000.0,,6656.0,,32.0,,65472.57393,8.0,10000.0,1.0,0.0,0.15273,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,1.0,1.01514,1010786.25,25.0,blobs,,0.20013,,,,,,16384.0,,,,,60.0,16387421.0,10000.0,,6480.0,,,,4996.67908,8.0,10000.0,1.0,1.5141,2.00132,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.84542,3.17105,3157453.0,25.0,blobs,Ailon2009 faithful (no refinement),2379.76495,,8192.0,,,,,,,,,,128025051.0,10000.0,,12096.0,,,112.0,2100.81966,8.0,10000.0,0.93422,217.10564,4.76004,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,1.0,1.0,995710.19087,25.0,blobs,,4.94463,8.0,1024.0,0.0,25.0,0.3,,,,,batch_stream_wrapper,,32727752.0,10000.0,25.0,4964.0,0.0,,,181795.73169,8.0,10000.0,1.0,0.0,0.055,42.0,insertion-only,Kmeans_sweep
KMeans(sk),1.0,1.0,995710.125,25.0,blobs,,,,,,,,,,,,,,16398149.0,10000.0,,,,,,154945.1728,8.0,10000.0,1.0,0.0,0.06453,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),1.0,1.00016,995870.0,25.0,blobs,,,,,,,,,,,,,,16399149.0,10000.0,,,,,,396276.31824,8.0,10000.0,1.0,0.01605,0.02523,77.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,1.0,1.0,995710.19087,25.0,blobs,,73.4501,,8192.0,,,,,1.0,2.0,32.0,,,32745783.0,10000.0,,6656.0,,32.0,,61987.52165,8.0,10000.0,1.0,0.0,0.16132,77.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,1.0,1.01524,1010893.0625,25.0,blobs,,0.19821,,,,,,16384.0,,,,,63.0,16388437.0,10000.0,,6804.0,,,,5045.03439,8.0,10000.0,1.0,1.52483,1.98214,77.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.84147,3.03147,3018475.25,25.0,blobs,Ailon2009 faithful (no refinement),2389.69,,8192.0,,,,,,,,,,128025051.0,10000.0,,12096.0,,,112.0,2092.08766,8.0,10000.0,0.88684,203.14799,4.77991,77.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,1.0,1.0,995710.19087,25.0,blobs,,4.77906,8.0,1024.0,0.0,25.0,0.3,,,,,batch_stream_wrapper,,32727752.0,10000.0,25.0,4964.0,0.0,,,187760.8115,8.0,10000.0,1.0,0.0,0.05325,77.0,insertion-only,Kmeans_sweep
KMeans(sk),1.0,1.0,995710.125,25.0,blobs,,,,,,,,,,,,,,16398133.0,10000.0,,,,,,121019.34546,8.0,10000.0,1.0,0.0,0.08263,211.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),1.0,1.00012,995829.8125,25.0,blobs,,,,,,,,,,,,,,16399149.0,10000.0,,,,,,324674.007,8.0,10000.0,1.0,0.01202,0.0308,211.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,1.0,1.0,995710.19087,25.0,blobs,,78.15366,,8192.0,,,,,1.0,2.0,32.0,,,32745705.0,10000.0,,6656.0,,32.0,,59021.39586,8.0,10000.0,1.0,0.0,0.16943,211.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,1.0,1.01483,1010477.8125,25.0,blobs,,0.19543,,,,,,16384.0,,,,,63.0,16388601.0,10000.0,,6804.0,,,,5116.86176,8.0,10000.0,1.0,1.48313,1.95432,211.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.64157,4.26864,4250330.5,25.0,blobs,Ailon2009 faithful (no refinement),2365.46037,,8192.0,,,,,,,,,,128025051.0,10000.0,,12096.0,,,112.0,2113.51545,8.0,10000.0,0.78498,326.86424,4.73145,211.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,1.0,1.0,995710.19087,25.0,blobs,,4.73585,8.0,1024.0,0.0,25.0,0.3,,,,,batch_stream_wrapper,,32729358.0,10000.0,25.0,4964.0,0.0,,,189104.13372,8.0,10000.0,1.0,0.0,0.05288,211.0,insertion-only,Kmeans_sweep
KMeans(sk),1.0,1.0,995710.1875,25.0,blobs,,,,,,,,,,,,,,16398149.0,10000.0,,,,,,147923.70515,8.0,10000.0,1.0,0.0,0.0676,42.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),1.0,1.00009,995802.75,25.0,blobs,,,,,,,,,,,,,,16399149.0,10000.0,,,,,,352464.83061,8.0,10000.0,1.0,0.00929,0.02837,42.0,insertion-only,Kmeans_sweep
[1]Guha2002_STREAMKMeans_Paper,1.0,1.0,995710.19087,25.0,blobs,,65.24639,,8192.0,,,,,1.0,2.0,32.0,,,32745705.0,10000.0,,6656.0,,32.0,,69639.72196,8.0,10000.0,1.0,0.0,0.14359,42.0,insertion-only,Kmeans_sweep
[16]Charikar2003_FacilityOnline,1.0,1.01514,1010786.25,25.0,blobs,,0.19058,,,,,,16384.0,,,,,60.0,16388916.0,10000.0,,6480.0,,,,5247.05908,8.0,10000.0,1.0,1.5141,1.90582,42.0,insertion-only,Kmeans_sweep
[Ailon2009] Streaming k-means#,0.84542,3.17105,3157453.0,25.0,blobs,Ailon2009 faithful (no refinement),2290.04689,,8192.0,,,,,,,,,,128025051.0,10000.0,,12096.0,,,112.0,2183.11314,8.0,10000.0,0.93422,217.10562,4.58061,42.0,insertion-only,Kmeans_sweep
Boutsidis2014_RandomProj_STREAMING,1.0,1.0,995710.19087,25.0,blobs,,4.87891,8.0,1024.0,0.0,25.0,0.5,,,,,batch_stream_wrapper,,32727752.0,10000.0,25.0,4964.0,0.0,,,184206.44856,8.0,10000.0,1.0,0.0,0.05428,42.0,insertion-only,Kmeans_sweep
KMeans(sk),1.0,1.0,995710.125,25.0,blobs,,,,,,,,,,,,,,16398149.0,10000.0,,,,,,175014.11051,8.0,10000.0,1.0,0.0,0.05713,77.0,insertion-only,Kmeans_sweep
MiniBatchKMeans(sk),1.0,1.00016,995870.0,25.0,blobs,,,,,,,,,,,,,,16399149.0,10000.0,,,,,,371139.57776,8.0,10000.0,1.0,0.01605,0.02694,77.0,insertion-only,Kmeans_sweep
